"Utility.ID","Plant.Code","Prime.Mover","Energy.Source.1","Technology","Nameplate.Capacity","Operating.Year.avg","Operating.Year.max","Operating.Year.min","Net.Generation..Megawatthours.","cap_fac"
10210,6580,"HY","WAT","Conventional Hydroelectric",5.4,1951.66666666667,1954,1947,42915,0.907217148655505
10210,6581,"HY","WAT","Conventional Hydroelectric",2.1,1968,1968,1968,13207,0.717927810393564
10210,84,"HY","WAT","Conventional Hydroelectric",4.2,1948,1954,1938,20683,0.562160252228745
10210,85,"IC","DFO","Petroleum Liquids",25.9,1978.25,1998,1969,-1111,-0.00489677544472065
10230,54934,"IC","LFG","Landfill Gas",5.6,1995.42857142857,1996,1995,41655,0.849131604696673
10260,2248,"IC","NG","Natural Gas Internal Combustion Engine",9.6,1958,1974,1944,0,0
10273,50410,"ST","PC","Petroleum Coke",67,1986,1986,1986,89162.35,0.15191567845703
10321,1296,"IC","NG","Natural Gas Internal Combustion Engine",19.1,1977.33333333333,1993,1962,2857.176,0.0170765258552679
10325,7907,"HY","WAT","Conventional Hydroelectric",165,1984,1984,1984,238379,0.164922512799225
10337,10405,"CA","NG","Natural Gas Fired Combined Cycle",13.1,1990,1990,1990,7050,0.061434696225034
10337,10405,"CT","NG","Natural Gas Fired Combined Cycle",23.1,1990,1990,1990,18925,0.0935232955780901
10339,54239,"IC","DFO","Petroleum Liquids",30,1987.41666666667,1989,1984,1496,0.00569254185692542
10347,54385,"HY","WAT","Conventional Hydroelectric",2.3,1990.5,1995,1986,1778,0.0882469724042089
10349,54114,"CA","NG","Natural Gas Fired Combined Cycle",27,1995,1995,1995,136733,0.578103331642144
10349,54114,"CT","NG","Natural Gas Fired Combined Cycle",94.2,1994,1994,1994,552204,0.669182444812844
10362,55501,"CA","NG","Natural Gas Fired Combined Cycle",634.4,2003,2003,2003,732696,0.131842837153863
10362,55501,"CT","NG","Natural Gas Fired Combined Cycle",735.6,2003,2003,2003,962744,0.149404952562565
10363,10781,"HY","WAT","Conventional Hydroelectric",1.3,1983,1983,1983,3331,0.292500878117316
10376,7238,"CA","NG","Natural Gas Fired Combined Cycle",266,2002.66666666667,2011,1995,1413590,0.606649328801456
10376,7238,"CT","NG","Natural Gas Fired Combined Cycle",427.5,2002.66666666667,2011,1995,2297473,0.6134938182595
10376,7238,"GT","NG","Natural Gas Fired Combustion Turbine",42,1994,1994,1994,2803.253,0.00761919167210263
10393,7832,"CA","LFG","Landfill Gas",6,2011,2011,2011,35137,0.668512176560122
10393,7832,"CT","LFG","Landfill Gas",20,2011,2011,2011,111420,0.635958904109589
10393,7832,"IC","LFG","Landfill Gas",10.5,1999.2,2000,1999,0,0
10433,57187,"WT","WND","Onshore Wind Turbine",9,2010.5,2012,2009,29309,0.371752917300863
10433,58405,"BA","MWH","Batteries",3,2012,2012,2012,0,0
10433,60250,"IC","DFO","Petroleum Liquids",8.4,2006.33333333333,2015,2002,0,0
10433,60563,"FW","MWH","Flywheels",2,2015,2015,2015,0,0
10433,6281,"IC","DFO","Petroleum Liquids",18.3,1991.75,2005,1976,0,0
10433,6282,"IC","DFO","Petroleum Liquids",1,1970.5,1975,1968,0,0
10433,71,"HY","WAT","Conventional Hydroelectric",33.6,1994,2014,1984,124484,0.422931615568602
10433,7723,"IC","DFO","Petroleum Liquids",10,1997,2000,1994,0,0
10451,6304,"IC","DFO","Petroleum Liquids",11.8,2001.33333333333,2016,1987,16483,0.159459407166628
10451,6304,"WT","WND","Onshore Wind Turbine",4.5,2003.36842105263,2012,1997,3991,0.101243023845764
10525,4124,"IC","DFO","Petroleum Liquids",1.5,1990,1990,1990,7,0.000532724505327245
10536,506,"IC","DFO","Petroleum Liquids",17.2,1953.14285714286,1970,1939,-948,-0.0062918126791972
10538,2140,"IC","DFO","Petroleum Liquids",3.6,2013,2013,2013,0,0
10559,1297,"IC","DFO","Petroleum Liquids",5.5,1967.5,1975,1962,14,0.00029057700290577
